el,volume,area,n,phi,gamma,K,G,at_nr,A_lat,eH,eHoldKJMOL
Li,13,5.53,0.98,2.85,0.000525,11,4.2,3,0,0,0
Be,4.9,2.88,1.67,5.05,0.0027,130,132,4,0,0,0
Na,23.78,8.27,0.82,2.7,0.00026,6.3,3.3,11,0,0,0
Mg,14,5.81,1.17,3.45,0.00076,45,17,12,0,0,0
Al,10,4.64,1.39,4.2,0.00116,76,26,13,4.05,0,0
K,45.63,12.77,0.65,2.25,0.00013,3.1,1.3,19,0,0,0
Ca,26.2,8.82,0.91,2.55,0.00049,17,7.4,20,5.58,0,0
Sc,15.03,6.09,1.27,3.25,0.001275,57,29,21,0,1.02295336,0
Ti,10.58,4.82,1.52,3.8,0.0021,110,44,22,0,1.11001323,0
V,8.36,4.12,1.64,4.25,0.00255,160,47,23,3.03,1.214,335
Cr,7.23,3.74,1.73,4.65,0.0023,160,115,24,0,0.217060335,239
Mn,7.35,3.78,1.61,4.45,0.0016,124,78,25,0,0,0
Fe,7.09,3.69,1.77,4.95,0.002475,170,82,26,0,0.517624142,268
Co,6.7,3.55,1.75,5.1,0.00255,180,76,27,0,0.58629645,0
Ni,6.6,3.52,1.75,5.2,0.00245,180,76,28,3.52,0.476167065,264
Cu,7.12,3.7,1.47,4.45,0.001825,140,48,29,3.61,0.217060335,239
Zn,9.17,4.38,1.32,4.1,0.00099,70,43,30,0,0,0
Y,19.89,7.34,1.21,3.2,0.001125,41,26,39,0,0.95783345,0
Zr,14,5.81,1.41,3.45,0.002,71,33,40,0,0.995591698,0
Nb,10.8,4.89,1.64,4.05,0.0027,170,38,41,0,1.005,0
Mo,9.4,4.45,1.77,4.65,0.003,230,20,42,0,0.89192,0
Ru,8.2,4.07,1.83,5.4,0.00305,220,173,44,0,0.54518095,0
Rh,8.3,4.1,1.76,5.4,0.0027,380,150,45,3.8,0.258517412,243
Pd,8.89,4.29,1.67,5.45,0.00205,180,44,46,3.89,0.476167065,264
Ag,10.25,4.72,1.36,4.35,0.00125,100,30,47,4.09,0.113417644,229
Cd,13,5.53,1.24,4.05,0.00074,42,19,48,0,0,0
Sn,16.3,6.43,1.24,4.15,0.000675,58,18,50,0,0,0
Sb,16.95,6.6,1.26,4.4,0.000535,42,20,51,0,0,0
Ba,38.1,11.32,0.81,2.32,0.00037,10,4.9,56,0,0,0
La,22.55,7.98,1.18,3.17,0.00102,28,14,57,0,0.698551743,0
Hf,13.45,5.66,1.45,3.6,0.00215,110,30,72,0,1.11001323,0
Ta,10.81,4.89,1.63,4.05,0.00315,200,67,73,0,1.010516246,0
W,9.55,4.5,1.81,4.8,0.003675,310,161,74,0,0,0
Re,8.85,4.28,1.85,5.2,0.0036,370,178,75,0,0,0
Ir,8.52,4.17,1.83,5.55,0.003,320,210,77,3.84,0.476167065,264
Pt,9.1,4.36,1.78,5.65,0.002475,230,61,78,3.92,0.217060335,239
Au,10.19,4.7,1.57,5.15,0.0015,220,27,79,4.08,-0.073139202,211
Tl,17.23,6.67,1.12,3.9,0.000575,43,2.8,81,0,0,0
Pb,18.28,6.94,1.15,4.1,0.0006,46,5.6,82,4.95,0,0
Bi,19.32,7.2,1.16,4.15,0.00049,31,12,83,0,0,0
Th,19.8,7.32,1.28,3.3,0.00155,54,31,90,5.08,0,0
